Designator,Mid X,Mid Y,Layer,Rotation
J7,105.290735,-78.664243,Bottom,-90.000000
J9,130.680000,-51.179301,Bottom,-90.000000
C1,130.143279,-70.325603,Top,0.000000
C2,130.148279,-73.440603,Top,0.000000
D1,131.950000,-53.710000,Top,0.000000
J1,123.854258,-78.611131,Top,180.000000
J2,122.416803,-66.904054,Top,90.000000
J3,102.740000,-50.800000,Top,0.000000
J4,105.280000,-71.130549,Top,90.000000
J6,118.005000,-55.890000,Top,0.000000
R1,123.060000,-52.278774,Top,-90.000000
